Topic,Review_Raw,Tokens,Representative_document
1,"라네즈 크림 스킨 리파이너는 피부에 풍부한 보습감을 주며, 매끄럽고 촉촉한 피부로 가꿔주는 고보습 스킨케어 제품입니다. 특히 건조하고 거칠어진 피부에 빠르게 흡수되어 깊은 보습을 전달해주는 것이 특징입니다. 스킨이지만 마치 크림을 바른 듯한 쫀쫀한 제형으로, 세안 후 피부결을 정돈할 때 피부에 부드럽게 밀착되어 윤기 있는 피부로 만들어줍니다.

또한, 라네즈만의 독자적인 워터 배리어 기술이 적용되어 피부 장벽을 강화하고 수분 손실을 막아줍니다. 피부 속 수분을 채워주는 동시에 겉은 끈적이지 않고 산뜻하게 마무리되어, 지복합성 피부도 부담 없이 사용할 수 있습니다. 꾸준히 사용하면 피부의 전반적인 수분 밸런스를 개선해 건강하고 생기 있는 피부를 유지하는 데 도움을 줍니다. 데일리 스킨케어 루틴에 적합한 제품으로, 향도 은은해 기분 좋은 사용감을 제공합니다.",크림 스킨 리파이너 피부 보습 피부 보습 스킨케어 건조 거칠다 피부 빠르다 흡수 보습 전달 특징 스킨 크림 쫀쫀 제형 세안 피부 정돈 피부 밀착 윤기 피부 독자 워터 배리 기술 적용 피부 장벽 강화 수분 손실 피부 수분 동시 마무리 복합 피부 부담 피부 전반 수분 밸런스 개선 건강 생기 피부 유지 도움 데일리 스킨케어 루틴 적합 기분 제공,True
1,"라네즈 크림스킨은 피부에 촉촉함을 더해주면서도 무겁지 않은 사용감으로 피부를 가볍게 보습해줍니다. 특히, 건조한 계절이나 피부가 예민한 분들에게 좋은 선택이 될 수 있습니다.

저 또한 라네즈의 크림스킨을 사용한 경험이 있는데, 그 효과에 매우 만족했습니다. 제가 사용한 제품은 피부에 빠르게 흡수되어 건조함을 채워주면서도 기름기 없는 건조한 피부를 유지할 수 있었습니다.

특히, 크림스킨을 사용한 후에는 화장이 더 잘 먹고, 피부 톤이 밝아지는 느낌을 받을 수 있었습니다. 피부의 탄력도 높아진 것을 느낄 수 있었고, 꾸준한 사용으로 피부 텍스처가 개선되는 것을 느낄 수 있었습니다!",크림 스킨 피부 피부 보습 건조 계절 피부 선택 크림 스킨 경험 효과 피부 빠르다 흡수 건조 기름 건조 피부 유지 크림 스킨 화장 피부 피부 탄력 피부 텍스처 개선,True
6,매번 쓰는 제품입니다 ~ 크림스킨 나올때부터 정말 건성을 위한 스킨이라고 생각해서 구매했는데 지금까지 잘 쓰고 있어요 !! 건성인 남자도 사용가능합니다 !! 촉촉하고 속수분을 잡아줘서 피부가 매끈하고 윤기나요 ~~ 앞으로도 계속 사용할 예정입니다 !! + 여름에는 젤크림스킨도 좋아요 ~~ 젤크림스킨도 직접 구매하고 써봤습니다~,크림 스킨 건성 스킨 지금 건성 남자 가능 촉촉하다 수분 피부 윤기 예정 여름 크림 스킨 크림 스킨,True
19,"리뉴얼 후 제품은 처음 써보는데 여전히 좋네요
보통의 스킨 토너들은 바르는 순간만 촉촉하고 에센스나 로션 안 발라주면 금방 마르는데 크림스킨은 일반 스킨과 다르게 꽤 촉촉해서 좋아요. 미스트 펌프 끼워서 여러번 뿌려주니까 보습력도 오래가고 편해서 좋네요",리뉴얼 처음 보통 스킨 토너 순간 에센스 로션 크림 스킨 일반 스킨 다르다 미스트 펌프 보습 편하다,True
74,"사람들이 이 제품 너무너무 좋다고 해서 반신반의 하면서 사보았어요
근데 기대이상 입니다
생각보다 크기가작아 첨에 실망햇지만
직접 써보니 너무너무 맘에 듭니다
전 냉장고에 넣어두고 시원하게 쓴답니다
배송빠르고 가격착해요 너무너무 좋아요 감사합니다 잘쓸게요 최고다요",반신반의 기대 이상 크기 실망 냉장고 빠르다 착하다 감사,True
65,끈적임이 아닌 쫀득한 느낌이예요 스프레이 없는줄 몰랐는데 그냥 써보니 조금 불편해서 스프레이 주는 걸로 추가 주문 했어요 스프레이로 나오면 좋을것 같아요 스프레이로 사용해보니 뭔가 더 촉촉하게 잘 스며드는 느낌이예요 몸에도 다 할려구요 요즘 부쩍 건조해져서 잘 쓸것 같아요,쫀득하다 스프레이 불편 스프레이 추가 스프레이 스프레이 촉촉하다 요즘 건조,True
25,"## 라네즈 젤 크림스킨 솔직 후기

**촉촉함과 산뜻함의 조화**
- 젤크림스킨은 워터리하면서도 젤크림의 보습력을 담아, 바르는 순간 산뜻하게 흡수되고 끈적임이나 번들거림 없이 마무리됩니다.
- 겉은 보송하고 매트하게 마무리되지만, 속건조는 확실히 잡아줘서 피부결이 쫀쫀하고 매끈해집니다.

**유분 및 모공 케어**
- 12시간 동안 오일 컨트롤 효과가 지속되어, 특히 지성·수분부족지성(수부지) 피부에 추천됩니다.
- 징크와 듀얼 펩타이드 성분이 피지 분비와 모공 부피 개선에 도움을 주며, 실제로 임상에서 피지 분비 45% 감소, 모공 부피 36% 개선 효과가 확인되었습니다.

**메이크업 밀착력과 피부결 정돈**
- 산뜻한 마무리감 덕분에 메이크업이 잘 밀착되고, 시간이 지나도 유분이 많아지지 않아 화장이 오래 갑니다.

**저자극 포뮬러**
- 하이포알러지, 피부과, 민감성 피부 테스트를 완료해 민감한 피부도 안심하고 사용할 수 있습니다.

**추천 사용법**
- 세안 후 손이나 화장솜에 덜어 얼굴에 펴 바르고, 건조한 부위는 한 번 더 레이어링하면 좋습니다.
- 미스트 펌프를 활용하면 언제든 산뜻하게 수분 충전이 가능합니다.

**총평**
- 라네즈 젤 크림스킨은 속보습과 유분 컨트롤을 동시에 잡아주는 제품으로, 봄·여름철 산뜻한 수분 관리가 필요한 수부지·지성 피부에 특히 잘 맞습니다. 피부결 정돈, 보송한 마무리, 그리고 메이크업 지속력까지 모두 만족스럽습니다.",크림 스킨 후기 조화 크림 스킨 워터 크림 보습 순간 흡수 마무리 보송 매트 마무리 건조 피부 쫀쫀 유분 모공 케어 동안 오일 컨트롤 효과 지속 지성 수분 부족 지성 수부지 피부 징크 듀얼 펩타이드 성분 피지 분비 모공 부피 개선 도움 임상 피지 분비 감소 모공 부피 개선 효과 확인 메이크업 밀착 피부 정돈 마무리 덕분 메이크업 밀착 시간 유분 화장 자극 포뮬러 하이포 알러지 피부과 피부 테스트 완료 피부 안심 사용법 세안 화장 얼굴 건조 부위 레이어 미스트 펌프 활용 수분 충전 가능 총평 크림 스킨 보습 유분 컨트롤 동시 여름철 수분 관리 필요 부지 지성 피부 피부 정돈 보송 마무리 메이크업 지속,True
25,"라네즈 젤 크림스킨 솔직 후기

**촉촉함과 산뜻함의 조화**
- 젤크림스킨은 워터리하면서도 젤크림의 보습력을 담아, 바르는 순간 산뜻하게 흡수되고 끈적임이나 번들거림 없이 마무리됩니다.
- 겉은 보송하고 매트하게 마무리되지만, 속건조는 확실히 잡아줘서 피부결이 쫀쫀하고 매끈해집니다.

**유분 및 모공 케어**
- 12시간 동안 오일 컨트롤 효과가 지속되어, 특히 지성·수분부족지성(수부지) 피부에 추천됩니다.
- 징크와 듀얼 펩타이드 성분이 피지 분비와 모공 부피 개선에 도움을 주며, 실제로 임상에서 피지 분비 45% 감소, 모공 부피 36% 개선 효과가 확인되었습니다.

**메이크업 밀착력과 피부결 정돈**
- 산뜻한 마무리감 덕분에 메이크업이 잘 밀착되고, 시간이 지나도 유분이 많아지지 않아 화장이 오래 갑니다.

**저자극 포뮬러**
- 하이포알러지, 피부과, 민감성 피부 테스트를 완료해 민감한 피부도 안심하고 사용할 수 있습니다.

**추천 사용법**
- 세안 후 손이나 화장솜에 덜어 얼굴에 펴 바르고, 건조한 부위는 한 번 더 레이어링하면 좋습니다.
- 미스트 펌프를 활용하면 언제든 산뜻하게 수분 충전이 가능합니다.

**총평**
- 라네즈 젤 크림스킨은 속보습과 유분 컨트롤을 동시에 잡아주는 제품으로, 봄·여름철 산뜻한 수분 관리가 필요한 수부지·지성 피부에 특히 잘 맞습니다. 피부결 정돈, 보송한 마무리, 그리고 메이크업 지속력까지 모두 만족스럽습니다.",크림 스킨 후기 조화 크림 스킨 워터 크림 보습 순간 흡수 마무리 보송 매트 마무리 건조 피부 쫀쫀 유분 모공 케어 동안 오일 컨트롤 효과 지속 지성 수분 부족 지성 수부지 피부 징크 듀얼 펩타이드 성분 피지 분비 모공 부피 개선 도움 임상 피지 분비 감소 모공 부피 개선 효과 확인 메이크업 밀착 피부 정돈 마무리 덕분 메이크업 밀착 시간 유분 화장 자극 포뮬러 하이포 알러지 피부과 피부 테스트 완료 피부 안심 사용법 세안 화장 얼굴 건조 부위 레이어 미스트 펌프 활용 수분 충전 가능 총평 크림 스킨 보습 유분 컨트롤 동시 여름철 수분 관리 필요 부지 지성 피부 피부 정돈 보송 마무리 메이크업 지속,True
56,"젤 크림스킨 스페셜 기프트 세트
구매했습니다 
진정 젤 크림 토너 효과 
산뜻해서 좋습니다 
끈적임없고 잘 스며드는 젤 크림스킨
크림스킨보다 좀더 
쫀쫀한 느낌도 들고요
생각보다 좋더라고요
크림스킨이랑 젤크림스킨이랑 같이 써도 좋아요",크림 스킨 스페셜 기프트 세트 진정 크림 토너 효과 크림 스킨 크림 스킨 쫀쫀 크림 스킨 크림 스킨,True
23,끈적임없이 산뜻하고 촉촉하게 스며드는게 여름용으로 딱이네요^^,여름,True
