Topic,Count,Name,Representation,Representative_Docs
-1,26426,-1_크림_스킨_클렌징_순하다,"['크림', '스킨', '클렌징', '순하다', '샘플', '피부', '세안', '건조', '용량', '수분']","['건성 요즘 수분 크림 후기 기초 피부 크림 순하다 용량', '슈퍼 이탈 세트 피부 변화 제형 기분 에멀전 크림 흡수 빠르다 아침 메이크업 피부 건조 고급 기분 가격대 세트 구성 가성비 괜찮다 피부 트러블 의사', '샘플 샘플 로션 불편 구입 스킨 화장 건조 계절 보습 여름 에센스 생략 수분 크림']"
0,6405,0_염색_색상_입술_컬러,"['염색', '색상', '입술', '컬러', '립밤', '염색약', '새치', '예쁘다', '자연', '립스틱']","['염색약 두피 자극 염색 머리카락 색상 자연 깊이 표현 성분 덕분 염색 두피 편안 불편 염색약 특유 자극 냄새 강하다 컬러 브라운 중간 머리 손상 염색 모발 건강 유지', '우아체 새치 크림 염색약 색깔 오렌지 브라운 예쁘다 염색 가능 염색 두피 자극 염색', '웨어 립스틱 바밍글로우 애쉬 메이플 입술 색상 얼굴 자연 색상 색상 발림 지속']"
1,6127,1_피부_세안_클렌징_트러블,"['피부', '세안', '클렌징', '트러블', '화장품', '자극', '건조', '얼굴', '수분', '설화']","['크림 스킨 피부 피부 보습 건조 계절 피부 선택 크림 스킨 경험 효과 피부 빠르다 흡수 건조 기름 건조 피부 유지 크림 스킨 화장 피부 피부 탄력 피부 텍스처 개선', '크림 스킨 리파이너 피부 보습 피부 보습 스킨케어 건조 거칠다 피부 빠르다 흡수 보습 전달 특징 스킨 크림 쫀쫀 제형 세안 피부 정돈 피부 밀착 윤기 피부 독자 워터 배리 기술 적용 피부 장벽 강화 수분 손실 피부 수분 동시 마무리 복합 피부 부담 피부 전반 수분 밸런스 개선 건강 생기 피부 유지 도움 데일리 스킨케어 루틴 적합 기분 제공', '피부']"
2,5407,2_샴푸_머리_머리카락_두피,"['샴푸', '머리', '머리카락', '두피', '헤어', '탈모', '에이치', '트리트먼트', '라보', '리필']","['라보 에이치 샴푸 헤어 에센스 양손 머리카락 흡수 머리 머리 머리 효과 판매', '두피 머리 도움 샴푸 아모레 라보 에이치 두피 강화 샴푸 효과 머리 이전 샴푸', '샴푸 트리트먼트 머리 샴푸 두피 자극 머릿결 머리 미용실']"
3,5148,3_촉촉하다_순하다_조아_머리,"['촉촉하다', '순하다', '조아', '머리', '괜찮다', '빠르다', '발림', '커버', '구입', '남편']","['건성 피부 순하다 촉촉하다', '순하다 촉촉하다 샘플', '순하다 촉촉하다']"
4,2923,4_할인_저렴하다_아모레_샘플,"['할인', '저렴하다', '아모레', '샘플', '구입', '비싸다', '포인트', '설화', '아모레퍼시픽', '이벤트']","['샘플 사봤엉요 할인 비싸다 할인 추가 고민 비싸다 괜찮다 무난하다 저렴하다', '비싸다 할인 구입', '설화 샘플 자음 세트 구입 추석 할인 저렴하다 구입 할인 샘플 추가 증정 품질']"
5,2703,5_겨울_여름_겨울철_가을,"['겨울', '여름', '겨울철', '가을', '건조', '계절', '스킨', '날씨', '로션', '보습']","['수분 엠플 겨울 여름 가을 적합 다음 스킨 케어 부담 겨울', '보습 겨울 건조 효과 레드이치 건조', '겨울']"
6,1937,6_크림_스킨_아모레_예쁘다,"['크림', '스킨', '아모레', '예쁘다', '설화', '다음', '여름', '순하다', '화장', '촉촉하다']","['크림 스킨 건성 스킨 지금 건성 남자 가능 촉촉하다 수분 피부 윤기 예정 여름 크림 스킨 크림 스킨', '크림 스킨 화장 흡수 화장 친구 가을 겨울 보습 미스트 펌프 편하다 세안 보습', '스킨 세트 아이 크림 크림 구성 처음 엄마 부담 건조 지속 기초 정착 감사']"
7,1812,7_테이크_우드_향수_헤어,"['테이크', '우드', '향수', '헤어', '키트', '블랙', '피그', '바질', '퍼퓸', '오일']","['테이크 바질앤베티버 샴푸 우드 샴푸', '테이크 트리트먼트 우드 블랙 피그 시브 트리트먼트 테이크 헤어 테이크 우드 헤어 오일', '테이크 트리트먼트 우드 블랙 피그 시브 트리트먼트 테이크 헤어 테이크 우드 헤어 오일']"
8,1231,8_마스크_시트_리퀴드_로즈,"['마스크', '시트', '리퀴드', '로즈', '바이오', '밀착', '에센스', '컨디셔닝', '플로라', '하이드']","['피부 피부 마스크 성분 기분 마스크 기분 마스크 신뢰감', '마스크 자극 느꺄', '마스크']"
9,836,9_썬크림_크림_자외선_시리다,"['썬크림', '크림', '자외선', '시리다', '차단', '현상', '발림', '광채', '감국', '프리']","['여름 썬크림 자극 썬크림 평소 피부 화장품 썬크림 순하다 편하다', '리페어링세라깹슐유브이 프로덱터 썬크림', '썬크림 썬크림 발림 지속']"
10,706,10_샤워_바디워시_레몬_욕실,"['샤워', '바디워시', '레몬', '욕실', '거품', '기분', '바디', '해피', '바스', '향기']","['샤워 피부', '샤워', '샤워']"
11,491,11_핸드_크림_유자_보습,"['핸드', '크림', '유자', '보습', '달빛', '미스트', '흡수', '감국', '휴대', '세라마이드']","['핸드 크림 핸드 크림 판매 회사 눈치 핸드 크림 아이템 핸드 크림 강하다 핸드 크림 눈치', '순하다 진하다 핸드 크림 핸드 크림', '핸드 크림 보습']"
12,459,12_남성_화장품_남자_남편,"['남성', '화장품', '남자', '남편', '아버지', '인원', '아빠', '오딧세이', '설화', '귀찮다']","['아빠 화장품 단점 남성 뛰어나다 남자 화장품 스킨 로션 라인 귀찮다 남자', '촉촉하다 남성 화장품 구입', '남편 화장품 구입 남편 피부 건조 설화 남성 화장품 이후 피부']"
13,355,13_강하다_개인_취향_호불호,"['강하다', '개인', '취향', '호불호', '향기', '냄새', '괜찮다', '향수', '처음', '계열']","['개인 다르다 거품 세정 괜찮다 피부 용량', '처음 강하다 남자 화장품 첫날 머리 강하다 호불호 기능 가격대 차이 트리트먼트 머릿결 두피 모발 두피 트러블 걱정 호불호 의사 헤어 오일 오일 트리트먼트 다르다 트리트먼트', '처음 강하다 남자 화장품 첫날 머리 강하다 호불호 기능 가격대 차이 트리트먼트 머릿결 두피 모발 두피 트러블 걱정 호불호 의사 헤어 오일 오일 트리트먼트 다르다 트리트먼트']"
14,354,14_아이_가족_아기_아들,"['아이', '가족', '아기', '아들', '임신', '사춘기', '여드름', '순하다', '워시', '출산']","['순하다 자극 아이', '가족 핸드 워시 아이', '용량 아이 가족 아이 인원 워시 샴푸 편하다']"
15,304,15_향수_강하다_냄새_향기,"['향수', '강하다', '냄새', '향기', '호불호', '지속', '고체', '은은하다', '불편', '진하다']","['거품 자극 촉촉하다 냄새 지속', '첫인상 강하다 무리 고체 향수 부담 자연 지속 시간 뿌리', '첫인상 강하다 무리 고체 향수 부담 자연 지속 시간 뿌리']"
