Topic,Review_Raw,Tokens,Representative_document
41,조아요~~~~~~~^~~~~~~~~~~^~~~^^^^^^^^^^^^^^^^^^^~~♡♡♡♡♡♡♡♡♡♡♡♡♡♡-♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡--♡-♡--,조아,True
3,"💧💧피부속 수분을 채워주는 수분촉촉 크림스킨💧💧

라네즈 크림스킨은 처음 출시되었을때부터 현재 리뉴얼된 제품까지 몇년동안 쭈우욱~~ 쓰고잇어요~🙌

피부 기초단계때 닦토할때 화장솜에 적셔서 피부결도 정리할때 크림스킨을 사용하고 피부속 수분을 채워주기 위해서 화장솜패드에 듬뿍 적셔서 양쪽 볼이랑 이마에 팩처럼 사용하고 잇는데 정말 꾸준히 몇년을 사용하니 속건조도 없어지고 피부과 다년온것 처럼 물광피부로 바뀌더라구요🚩

피부장벽부터 탄탄하게 만들어주고 수분을 모공 속부터 채워주어서 하루종일 피부건조함 없이 만들어주고 너무너무 착한 보습스킨인것 같아요~~

얼마전에 리뉴얼되었는데 용기 디자인도 더 귀여워지고 용량도 더 많아져서 넘 좋아요~~

저는 피부 기초케어에서 스킨단계가 가장 중요하다고 생각하기때문에 스킨 고를때 가장 신중한 편인데 라네즈 크림스킨 제품을 한번 써보고 몇년째 정착해버렸습니다~~~~

크림을 녹여서 만든 스킨이라 역시 보습+탄력+장벽케어 를 한번에 할수 잇다는 장점이 너무 좋아요",피부 수분 수분 크림 스킨 크림 스킨 처음 출시 리뉴얼 동안 쭈우욱 피부 기초 단계 화장 피부 정리 크림 스킨 피부 수분 화장 패드 양쪽 이마 건조 피부과 다년 피부 피부 장벽 탄탄하다 수분 모공 하루 종일 피부 건조 착하다 보습 스킨 얼마 리뉴얼 용기 디자인 용량 피부 기초 케어 스킨 단계 중요 스킨 신중 크림 스킨 정착 크림 스킨 보습 탄력 장벽 케어 장점,True
-1,"예전에 크림스킨이 처음 출시되었을때 진짜 획기적인 제품이라는 생각이 들었어요
크림과 스킨을 접목할 생각을 하시다니..!!
미스트펌프도 같이 구성되어있어서 건조함을 느낄때 수시로 크림미스트 뿌려주면 촉촉하니 넘좋아요!! 
본품에 리필에 샘플까지 구성되어있어서 가성비좋게 너무 잘샀습니당ㅎㅎ",예전 크림 스킨 처음 출시 획기적 크림 스킨 접목 미스트 펌프 구성 건조 크림 미스트 리필 샘플 구성 가성비,True
6,"거의 다 써갑니당 ㅎㅎㅎ 믿고 쓰는 라네즈 크림스킨~~~~ 화장하기 전에 뿌리고 흡수시키면 화장 잘 먹어거 좋습니당!! 좋아서 친구들한테도 선물했어용 ㅎㅎㅎㅎ 가을 겨울에 딱인 느낌 ㅎㅎ 보습 좋아요~~ 그리고 미스트펌프 너무 편해서 잘 쓰고있습니다…
세안 후 칙칙 뿌리면 보습 끝!!!",크림 스킨 화장 흡수 화장 친구 선물 가을 겨울 보습 미스트 펌프 편하다 세안 보습,True
25,"퍼펙트리뉴 3X 세럼 어드밴스드 기획세트 한 달 사용 후, 피부 톤이 확실히 맑아지고 눈에 띄던 모공이 줄어든 게 느껴졌어요. 보습감도 좋아 촉촉하게 흡수되고, 크림과 함께 쓰면 피부가 더욱 쫀쫀해집니다. 주름, 탄력, 광채까지 한 번에 관리할 수 있어 재구매 의사 있어요.",퍼펙트 세럼 어드밴스드 기획 세트 피부 모공 보습 촉촉하다 흡수 크림 피부 쫀쫀 주름 탄력 광채 관리 의사,True
25,"라네즈 퍼펙트 리뉴 3X 시그니처 세럼 은 주름개선, 탄력, 광채 3가지 효과가 있는 3가지 제형의 세럼을 포함하여 한꺼번에 짜서 섞어서 적용할 수 있는 신기한 세럼이라서 더 좋고 효과가 극대화 되는 것 같아서 만족스럽습니다",퍼펙트 시그니처 세럼 주름 개선 탄력 광채 효과 제형 세럼 포함 적용 세럼 효과 극대 만족,True
28,특이하게 3가지 에센스가 동시에주름 탄력 광채를 한꺼번에 해결할 수 있는 복합세럼인데 의외로 산뜻하게 스미면서 촉촉해서 좋아요,특이 에센스 동시 주름 탄력 광채 해결 복합 세럼,True
14,선물하려고 구매했어여. 좋아하시네요.,선물,True
2,"선물했는데 발림성도 좋고
순하다고 만족해 하십니다",선물 발림 순하다 만족,True
-1,조아욥~~~~~~~~~~~~~~~~~~~,조아,True
-1,조아욥~~~~~~~~~~~~~~~~~~,조아,True
45,"원지 유튜브 보고 주문했어요~ 상품이 나온다는거 알고 아모레 들어와보니 제품 판매를 하고 있네요
원지 유튜브에서 말한거처럼 에센스 처럼 원한다고 하더니 진짜 썬크림 같지안고 기초 화장품 처럼 발림성이 나와요",원지 유튜브 아모레 판매 유튜브 에센스 썬크림 기초 화장품 발림,True
45,유튜브에서 보고 좋아보여서 구매했어요. 발림성 좋고 촉촉해서 건조할 때 쓰기도 좋고 화장전에 쓰기도 좋았어요. 향도 무난하니 괜찮았아요. 사용하고 눈시림도 못느꼈고 트러블 올라오는거도 없었습니다. 다시 구매할 거 같아요,유튜브 발림 촉촉하다 건조 화장 괜찮다 시리다 트러블,True
44,"유통기한이 28년2월까지 넉넉해서 좋아요.
같이 온 샘플 먼저 사용해서 맞는지 테스트해봤는데 괜찮은듯요.",유통 기한 샘플 테스트 괜찮다,True
2,선물용으로 구매했는데 너무 좋아하네요,선물,True
43,감사합니다 잘 쓰고있어요,감사,True
43,감사합니다 잘 쓸게요,감사,True
27,"라네즈 바운시 세럼 
피부 주름 개선 도움을 준다
나이가 드니깐 주름이 하나둘
모공이 넘 커지니깐 보기 힘드러요
깨끗하게 씻고 팩하고 마사지하고 잘 관리를 해야할것 같아요
피부가 조금씩 촉촉하니 좋은것 같아 잘 바르고 있어요",세럼 피부 주름 개선 도움 나이 주름 모공 힘드러요 마사지 관리 피부,True
2,"촉촉하고 산뜻해요 
첫구매했어요 
조아요 ~~",조아,True
2,배송 빠르고 꼼꼼하게 잘왔어요 잘쓸게요,배송 빠르다,True
52,"배송 빠르게 잘 받았습니다.
향이 좋고 사용감이 좋아요.",배송 빠르다,True
39,"라보H라인중 두피강화는 남편이 쓰고 있다!
샴푸는 시원하다고 피드백 받고 있고
나는 모발강화라인으로 구매~
기대해봄^^",라보 라인 두피 강화 남편 샴푸 피드백 모발 강화 라인 기대,True
